ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD
fuseki,5k,list,fuseki-5k-list.list,3,0,203595.80,1589.42
fuseki,10k,list,fuseki-10k-list.list,4,10,-2.00,E
fuseki,1k,list,fuseki-1k-list.list,4,0,6926.90,40.49
fuseki,2k,list,fuseki-2k-list.list,4,0,30165.80,193.31
fuseki,30k,list,fuseki-30k-list.list,4,10,-2.00,E
fuseki,3k,list,fuseki-3k-list.list,4,0,70452.40,327.49
fuseki,500,list,fuseki-500k-list.list,4,0,1814.40,12.70
fuseki,5k,list,fuseki-5k-list.list,4,0,200824.90,1660.74
fuseki,10k,list,fuseki-10k-list.list,5,10,-2.00,E
fuseki,1k,list,fuseki-1k-list.list,5,0,60.10,16.30
fuseki,2k,list,fuseki-2k-list.list,5,0,58.90,4.76
fuseki,30k,list,fuseki-30k-list.list,5,10,-2.00,E
fuseki,3k,list,fuseki-3k-list.list,5,0,77.80,7.39
fuseki,500,list,fuseki-500k-list.list,5,0,33.30,5.62
fuseki,5k,list,fuseki-5k-list.list,5,0,97.50,5.75
fuseki,10k,list,fuseki-10k-list.list,6,0,28.70,4.29
fuseki,1k,list,fuseki-1k-list.list,6,0,41.30,10.82
fuseki,2k,list,fuseki-2k-list.list,6,0,30.10,4.16
fuseki,30k,list,fuseki-30k-list.list,6,0,34.80,2.40
fuseki,3k,list,fuseki-3k-list.list,6,0,33.70,3.03
fuseki,500,list,fuseki-500k-list.list,6,0,30.00,4.52
fuseki,5k,list,fuseki-5k-list.list,6,0,31.60,3.14
fuseki,10k,list,fuseki-10k-list.list,7,0,24.20,2.82
fuseki,1k,list,fuseki-1k-list.list,7,0,38.30,4.22
fuseki,2k,list,fuseki-2k-list.list,7,0,27.20,2.86
fuseki,30k,list,fuseki-30k-list.list,7,0,33.20,8.73
fuseki,3k,list,fuseki-3k-list.list,7,0,30.70,3.49
fuseki,500,list,fuseki-500k-list.list,7,0,28.50,4.63
