ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
virtuoso,2k,prop_number,virtuoso-2k-prop_number.prop_number,10,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virtuoso,2k,prop_number,virtuoso-2k-prop_number.prop_number,11,0,18.3,4.67011777153,2.95,0.05,2.9425,0.0475,4558957.6,3283.2,4558957.6,3283.2
virtuoso,2k,prop_number,virtuoso-2k-prop_number.prop_number,12,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuseki,3k,seq,fuseki-3k-seq.seq,3,0,46.0,8.09938269253,11.05,0.0921954445729,11.0266666667,0.0901233722306,450750.8,23948.8075394,446674.906667,21859.4520831
fuseki,3k,seq,fuseki-3k-seq.seq,10,0,106.3,7.44378935758,10.9,0.0,10.8543791764,0.0207505011837,455834.8,4656.9854799,453726.711795,5154.14063361
fuseki,3k,seq,fuseki-3k-seq.seq,11,0,28.3,7.11407056473,10.65,0.10246950766,10.6383333333,0.0942956343988,461686.0,1334.21107775,461501.933333,1302.34743444
fuseki,3k,seq,fuseki-3k-seq.seq,12,0,27.3,3.66196668472,10.26,0.142828568571,10.249,0.13641480858,471436.4,6709.96618769,469824.92,5772.84725674
blazegraph,1k,seq,blazegraph-1k-seq.seq,3,0,53.5,12.6035709226,15.63,0.651229606207,15.4805952381,0.720018165949,280158.4,3368.6475387,279064.569048,2707.06755889
blazegraph,1k,seq,blazegraph-1k-seq.seq,10,0,666.6,240.518689502,41.6,14.3179607487,38.5367884925,15.0825837555,391858.0,119785.067266,372354.673977,107112.731519
blazegraph,1k,seq,blazegraph-1k-seq.seq,11,0,72.1,23.1017315368,57.23,1.59439643753,56.9773268398,1.45193184653,631137.6,1131.82500414,631099.314805,1178.26101885
blazegraph,1k,seq,blazegraph-1k-seq.seq,12,0,42.4,7.310266753,49.62,1.94668949758,49.5697857143,1.92650269543,632043.2,113.656324065,632031.6,109.434181132
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,3,0,81.8,6.46219776856,9.05,0.05,9.01567460317,0.0164950060012,435333.6,3327.38273122,434418.272381,2892.02855287
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,10,0,147.8,22.8420664564,9.07,0.0458257569496,9.0513562753,0.0434804959328,440360.8,2545.31085724,438634.515173,2488.03408032
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,11,0,65.5,6.5306967469,9.8,0.352136337233,9.77660714286,0.354773894213,448373.6,12514.7325916,447703.828571,12803.1865958
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,12,0,46.8,9.61041102139,9.79,0.0830662386292,9.77766666667,0.0699213844257,436571.6,3383.1116801,436320.62,3253.75308768
fuseki,5k,uri,fuseki-5k-uri.uri,3,0,62.6,5.95315042645,46.99,0.44598206242,46.9720833333,0.438265401897,2024602.8,14783.125196,2021309.97381,14922.8814957
fuseki,5k,uri,fuseki-5k-uri.uri,10,0,9407.0,160.245436753,53.37,3.24192843845,52.6907519446,3.33093852076,2138446.4,67147.3399431,2113114.64018,83017.9668349
fuseki,5k,uri,fuseki-5k-uri.uri,11,0,38.9,7.94292137692,57.25,0.361247837364,57.25,0.361247837364,2267002.0,8724.41947639,2265100.88,7530.61454395
fuseki,5k,uri,fuseki-5k-uri.uri,12,0,57.6,3.44093010682,55.96,0.395474398666,55.9411904762,0.381829421971,2307146.4,13277.6987404,2303373.98095,12909.0739499
virtuoso,1k,seq,virtuoso-1k-seq.seq,3,0,27.8,2.92574776767,8.03,0.283019433962,8.00683333333,0.283672786851,4466074.4,3283.2,4466058.56,3315.06922136
virtuoso,1k,seq,virtuoso-1k-seq.seq,10,10,E,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virtuoso,1k,seq,virtuoso-1k-seq.seq,11,0,20.0,3.37638860323,6.59,0.181383571472,6.585,0.181727818454,4483575.2,2462.4,4483575.2,2462.4
