ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
blazegraph,,seq,blazegraph-60k-seq.seq,1,0,1026.8,52.2068960962,25.02,0.06,24.997319015,0.0543973866751,2078441.2,713.544504569,2078389.67876,612.530337675
virtuoso,,uri,virtuoso-120k-uri.uri,1,0,11021.7,172.546834222,15.04,0.0489897948557,15.0345228628,0.0448635132782,5998248.0,312.369012548,5998189.89834,398.058386541
fuseki,,uri,fuseki-30k-uri.uri,1,0,3170.5,145.997431484,27.42,0.183303027798,27.361528768,0.178745026204,7127855.2,130878.388313,7098281.45956,130020.537846
blazegraph,,seq,blazegraph-ghostbusters-seq.seq,1,0,352.9,43.6771107103,11.47,0.0640312423743,11.4450894471,0.0912545563331,1087606.0,9121.53903681,1081327.5836,18763.4207068
virtuoso,,prop_time,virtuoso-90k-prop_time.prop_time,1,0,1988.9,171.28015063,11.2,0.0,11.2,5.3290705182e-16,5995872.0,0.0,5995872.0,0.0
virtuoso,,sop,virtuoso-30k-sop.sop,1,0,335.9,61.3603292038,10.2,0.0,10.2,0.0,5992968.0,0.0,5992968.0,0.0
virtuoso,,uri,virtuoso-1k-uri.uri,1,0,243.8,21.8805850013,8.7,0.0,8.7,0.0,5992180.0,0.0,5992180.0,0.0
virtuoso,,uri,virtuoso-ghostbusters-uri.uri,1,0,960.3,69.8513421489,9.39,0.03,9.38235188202,0.0340707651515,5992444.0,0.0,5992437.62759,19.1172413793
fuseki,,prop_time,fuseki-ghostbusters-prop_time.prop_time,1,0,796.8,39.1428154327,30.65,0.215638586528,30.6213501721,0.219576966184,9445674.8,78437.3288694,9431087.20593,76396.3065331
fuseki,,prop_time,fuseki-120k-prop_time.prop_time,1,0,9796.5,190.036443873,39.04,0.415210789841,38.9338109519,0.414843106872,9384870.8,5585.07154475,9383465.5564,4982.84888741
virtuoso,,list,virtuoso-ghostbusters-list.list,1,0,62513.6,887.31969436,9.05,0.174642491966,9.01730625576,0.1885171369,5992180.0,0.0,5992180.0,0.0
virtuoso,,seq,virtuoso-60k-seq.seq,1,0,620.3,35.7352766884,11.2,0.0,11.2,0.0,5994288.0,0.0,5994288.0,0.0
virtuoso,,sop,virtuoso-ghostbusters-sop.sop,1,0,391.0,123.579124451,9.4,0.0,9.4,0.0,5992444.0,0.0,5992444.0,0.0
fuseki,,sop,fuseki-120k-sop.sop,1,0,14789.5,354.65511416,45.51,0.434626276242,45.408699996,0.4236142315,5856510.0,317.289772921,5855071.92443,4103.16370221
virtuoso,,seq,virtuoso-120k-seq.seq,1,0,1045.0,87.1848610712,15.1,0.0,15.1,5.3290705182e-16,5998512.0,0.0,5998512.0,0.0
virtuoso,,prop_time,virtuoso-60k-prop_time.prop_time,1,0,1431.0,75.2369590029,10.2,0.0,10.2,0.0,5993232.0,0.0,5993205.99403,78.0179104476
blazegraph,,uri,blazegraph-90k-uri.uri,1,0,6256.0,350.059423527,27.72,0.324961536185,27.6642919294,0.345069087215,2420691.2,269831.859728,2386862.63589,310036.255795
fuseki,,prop_number,fuseki-ghostbusters-prop_number.prop_number,1,0,1599.5,46.3082066161,28.05,0.05,28.0116848042,0.0396805569763,8632014.0,176548.787974,8589210.51988,169240.886633
blazegraph,,prop_time,blazegraph-90k-prop_time.prop_time,1,0,4427.0,184.8004329,28.13,0.494064773081,28.0611651256,0.490141408993,2245352.0,149.54865429,2245336.69934,146.336614411
blazegraph,,uri,blazegraph-60k-uri.uri,1,0,4447.5,313.216618333,24.16,0.471593044902,24.0755675005,0.486037265244,1854744.4,299675.088686,1823474.66516,322165.442621
virtuoso,,prop_time,virtuoso-30k-prop_time.prop_time,1,0,914.8,84.1888353643,9.4,0.0,9.4,0.0,5992704.0,0.0,5992678.5977,76.2068965517
