ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD,CPU_MAX_AVG,CPU_MAX_STD,CPU_AVG_AVG,CPU_AVG_STD,RSS_MAX_AVG,RSS_MAX_STD,RSS_AVG_AVG,RSS_AVG_STD
fuseki,60k,seq,fuseki-60k-seq.seq,1,0,669.5,87.8296646925,5.23,0.0458257569496,5.21972121212,0.0413535203525,1018173.6,22659.02686,1008498.94697,27101.2615068
fuseki,60k,seq,fuseki-60k-seq.seq,2,0,290.2,21.7889880444,5.3,0.0,5.3,3.5527136788e-16,1025050.8,10287.4023232,1022967.45456,10692.5552717
fuseki,60k,seq,fuseki-60k-seq.seq,3,0,284.9,7.07742891169,5.3,0.0,5.3,2.6645352591e-16,1030664.0,9278.62472568,1028758.88619,10940.1216427
virtuoso,ghostbusters,prop_time,virtuoso-ghostbusters-prop_time.prop_time,1,0,127.7,34.415258244,1.0,0.0,1.0,0.0,4451574.8,990.31800953,4451492.07739,1022.60764404
virtuoso,ghostbusters,prop_time,virtuoso-ghostbusters-prop_time.prop_time,2,0,18.2,2.08806130178,1.0,0.0,1.0,0.0,4453660.0,0.0,4453624.8,105.6
virtuoso,ghostbusters,prop_time,virtuoso-ghostbusters-prop_time.prop_time,3,0,18.9,2.21133443875,1.0,0.0,1.0,0.0,4453660.0,0.0,4453660.0,0.0
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,1,0,38.8,20.8508992612,2.46,0.0489897948557,2.4525,0.0480234317807,396964.0,11953.4120986,395166.926061,11412.8550136
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,2,0,40.3,3.68917334914,2.38,0.04,2.38,0.04,389284.0,4453.38810346,387817.08,4173.94496581
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,3,0,42.1,4.54862616622,2.3,0.0,2.3,0.0,396282.0,1353.60526004,396083.053333,1146.89287451
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,1,0,37.2,37.2982573319,1.2,0.0,1.2,0.0,4443640.0,0.0,4443617.12,68.6399999999
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,2,0,14.7,1.73493515729,1.12,0.04,1.12,0.04,4443640.0,0.0,4443640.0,0.0
virtuoso,1k,prop_number,virtuoso-1k-prop_number.prop_number,3,0,14.5,1.43178210633,1.07,0.0458257569496,1.07,0.0458257569496,4443640.0,0.0,4443640.0,0.0
blazegraph,90k,seq,blazegraph-90k-seq.seq,1,0,1121.6,143.098707192,16.5,0.0,16.4870647653,0.0298514232102,1891891.6,40051.3862911,1869051.07956,44442.9755479
blazegraph,90k,seq,blazegraph-90k-seq.seq,2,0,693.3,29.8129166638,16.58,0.04,16.5698556999,0.0404656019362,2050817.2,36691.5873541,2042142.40929,35749.0967672
blazegraph,90k,seq,blazegraph-90k-seq.seq,3,0,711.6,27.1816114313,16.6,0.0,16.6,0.0,1987045.2,31959.767511,1980540.60909,33148.3802785
virtuoso,90k,uri,virtuoso-90k-uri.uri,1,0,582.5,41.6251126125,57.63,0.09,57.63,0.09,4644538.4,3681.73532998,4643968.61644,3730.70033432
virtuoso,90k,uri,virtuoso-90k-uri.uri,2,0,392.2,9.52680429105,57.34,0.0916515138991,57.3323076923,0.0894956281369,4650320.0,0.0,4650320.0,0.0
virtuoso,90k,uri,virtuoso-90k-uri.uri,3,0,394.9,13.8307628134,57.04,0.0916515138991,57.04,0.0916515138991,4650320.0,0.0,4650320.0,0.0
